Date,Team,fuckYOIU,WinLoss,
2017/11/17,CHI,0.048226508,W,0.206055602
2017/11/17,LAC,0.183359595,L,0.469627744
2017/11/17,CLE,0.207076441,W,0.530372256
2017/11/17,MIN,0.335805883,W,0.883551311
2017/11/17,DAL,0.044257933,L,0.116448689
2017/11/17,NOR,0.259888263,L,0.581015018
2017/11/17,DEN,0.18741216,W,0.418984982
2017/11/17,DET,0.146835136,L,0.609773597
2017/11/17,IND,0.093967576,W,0.390226403
2017/11/17,PHX,0.072301731,W,0.461522032
2017/11/17,LAL,0.084357596,L,0.538477968
2017/11/17,POR,0.085451306,L,0.68441576
2017/11/17,SAC,0.039401614,W,0.31558424
2017/11/17,OKC,0.279406093,L,0.824781318
2017/11/17,SAS,0.059357755,W,0.175218682
2017/11/17,NYK,0.140077767,L,0.483695948
2017/11/17,TOR,0.149521035,W,0.516304052
2017/11/17,MIA,0.21135468,W,0.502046949
2017/11/17,WAS,0.209631206,L,0.497953051
2017/11/18,BOS,0.066085795,W,0.714426223
2017/11/18,ATL,0.026416122,L,0.285573777
2017/11/18,LAC,0.183359595,L,0.529904134
2017/11/18,CHA,0.162664494,W,0.470095866
2017/11/18,MIL,0.203991889,L,0.821720183
2017/11/18,DAL,0.044257933,W,0.178279817
2017/11/18,HOU,0.296289405,W,0.735692175
2017/11/18,MEM,0.106446162,L,0.264307825
2017/11/18,UTA,0.025548132,W,0.16853412
2017/11/18,ORL,0.126042133,L,0.83146588
2017/11/18,GSW,0.339452384,W,0.922726064
2017/11/18,PHI,0.028427529,L,0.077273936
2017/11/18,SAC,0.047862353,L,0.231179196
2017/11/18,POR,0.159173375,W,0.768820804
2017/11/19,GSW,0.250059537,W,0.903581753
2017/11/19,BKN,0.026683034,L,0.096418247
2017/11/19,DEN,0.16689491,L,0.680013967
2017/11/19,LAL,0.07853374,W,0.319986033
2017/11/19,IND,0.096554807,W,0.328211009
2017/11/19,MIA,0.19763035,L,0.671788991
2017/11/19,DET,0.146632903,W,0.340519317
2017/11/19,MIN,0.283982618,L,0.659480683
2017/11/19,CHI,0.040188757,L,0.285363596
2017/11/19,PHX,0.100644752,W,0.714636404
2017/11/19,WAS,0.220635732,L,0.557378718
2017/11/19,TOR,0.175209543,W,0.442621282
2017/11/20,MIN,0.337439288,L,0.674738525
2017/11/20,CHA,0.162664494,W,0.325261475
2017/11/20,BOS,0.066085795,W,0.598908487
2017/11/20,DAL,0.044257933,L,0.401091513
2017/11/20,CLE,0.182558917,W,0.576709797
2017/11/20,DET,0.133993564,L,0.423290203
2017/11/20,POR,0.085675001,W,0.440169963
2017/11/20,MEM,0.108965725,L,0.559830037
2017/11/20,WAS,0.220296469,W,0.533378006
2017/11/20,MIL,0.192724815,L,0.466621994
2017/11/20,OKC,0.279406093,L,0.511970534
2017/11/20,NOR,0.266340341,W,0.488029466
2017/11/20,LAC,0.183359595,L,0.642755265
2017/11/20,NYK,0.101911651,W,0.357244735
2017/11/20,IND,0.098065284,W,0.437581607
2017/11/20,ORL,0.126042133,L,0.562418393
2017/11/20,UTA,0.025548132,L,0.461112868
2017/11/20,PHI,0.029857244,W,0.538887132
2017/11/20,DEN,0.151108779,W,0.78358907
2017/11/20,SAC,0.041733088,L,0.21641093
2017/11/20,ATL,0.111243529,L,0.652067362
2017/11/20,SAS,0.059357755,W,0.347932638
2017/11/21,CHI,0.040188757,L,0.338510035
2017/11/21,LAL,0.07853374,W,0.661489965
2017/11/22,LAC,0.192911181,W,0.84712331
2017/11/22,ATL,0.034813849,L,0.15287669
2017/11/22,WAS,0.220164476,L,0.575098787
2017/11/22,CHA,0.162664494,W,0.424901213
2017/11/22,BKN,0.036140311,L,0.150662348
2017/11/22,CLE,0.203735886,W,0.849337652
2017/11/22,DEN,0.14840336,L,0.312947521
2017/11/22,HOU,0.32580829,W,0.687052479
2017/11/22,DAL,0.038957582,W,0.263363378
2017/11/22,MEM,0.108965725,L,0.736636622
2017/11/22,BOS,0.065944666,L,0.250315701
2017/11/22,MIA,0.197501318,W,0.749684299
2017/11/22,ORL,0.033070581,L,0.105543869
2017/11/22,MIN,0.280264351,W,0.894456131
2017/11/22,SAS,0.124599146,L,0.320228064
2017/11/22,NOR,0.264495879,W,0.679771936
2017/11/22,TOR,0.186564333,L,0.648250711
2017/11/22,NYK,0.10123224,W,0.351749289
2017/11/22,GSW,0.338916688,L,0.530515514
2017/11/22,OKC,0.299927379,W,0.469484486
2017/11/22,POR,0.085451306,L,0.74096122
2017/11/22,PHI,0.029873631,W,0.25903878
2017/11/22,MIL,0.213321668,W,0.692925733
2017/11/22,PHX,0.094534799,L,0.307074267
2017/11/22,LAL,0.039401808,L,0.495003771
2017/11/22,SAC,0.040197198,W,0.504996229
2017/11/22,CHI,0.040188757,L,0.499209738
2017/11/22,UTA,0.040315996,W,0.500790262
2017/11/24,NYK,0.106534365,L,0.753701529
2017/11/24,ATL,0.034813849,W,0.246298471
2017/11/24,ORL,0.035443036,L,0.329905976
2017/11/24,BOS,0.071990713,W,0.670094024
2017/11/24,POR,0.085258826,W,0.761634891
2017/11/24,BKN,0.026683034,L,0.238365109
2017/11/24,CHA,0.185819582,L,0.47685384
2017/11/24,CLE,0.203858693,W,0.52314616
2017/11/24,MEM,0.079628799,L,0.319669344
2017/11/24,DEN,0.16946859,W,0.680330656
2017/11/24,CHI,0.042944557,L,0.178335825
2017/11/24,GSW,0.197862678,W,0.821664175
2017/11/24,TOR,0.182771526,L,0.662733094
2017/11/24,IND,0.093012991,W,0.337266906
2017/11/24,MIA,0.238546645,W,0.422315363
2017/11/24,MIN,0.326307646,L,0.577684637
2017/11/24,DET,0.146484489,W,0.328137534
2017/11/24,OKC,0.299927379,L,0.671862466
2017/11/24,NOR,0.261219524,W,0.735556257
2017/11/24,PHX,0.093912421,L,0.264443743
2017/11/25,TOR,0.182771526,W,0.839999132
2017/11/25,ATL,0.034813849,L,0.160000868
2017/11/25,SAS,0.122259256,W,0.429094649
2017/11/25,CHA,0.162664494,L,0.570905351
2017/11/25,OKC,0.275104055,L,0.861417656
2017/11/25,DAL,0.044257933,W,0.138582344
